id,cycle_time_days,tags
453,3,app
7630,2,app
7625,10,"app,support,urgent,quickwin"
7626,21,"app,urgent"
7627,4,"app,quickwin"
7621,2,app
7623,158,
7628,1,"app,quickwin"
7629,103,app
7641,4,app
393,31,app
7632,1,app
394,1,app
392,33,"app,support"
389,39,app
7602,9,app
7603,9,app
7604,5,"app,urgent"
7605,8,"app,support"
7601,10,"app,support"
7606,7,"app,support,urgent"
7607,10,"app,support,urgent,quickwin"
7608,10,"app,urgent"
7609,9,"app,support"
7610,5,"app,urgent"
6340,2,"app,support"
6341,1,app
7670,66,app
7668,66,"app,quickwin"
6337,8,app
7664,5,"app,support"
7667,58,"app,support,urgent"
6336,5,app
7683,66,app
7681,4,"app,urgent"
6350,15,app
6348,1,"app,support"
6349,6,"app,support,urgent"
6345,4,app
6347,7,"app,quickwin"
7642,4,
7660,9,app
7661,28,app
7662,28,"app,urgent"
7663,11,"app,urgent"
7658,11,app
6327,6,"app,support"
7659,16,"app,support"
5297,4,"app,quickwin"
5273,7,"app,support"
5269,22,app
5283,6,app
117,73,"app,quickwin"
113,39,quickwin
114,13,"app,urgent"
107,38,"app,urgent"
7990,4,app
7991,6,app
7992,3,app
6661,8,"app,urgent"
5331,4,app
7987,1,"app,support"
6656,1,"app,support"
7988,10,"app,support"
6657,3,app
7989,7,app
5321,1,app
5328,1,app
5327,5,"app,quickwin"
5326,3,app
7986,1,app
6655,1,app
5325,11,app
6670,74,app
5342,9,"app,quickwin"
5341,9,app
5333,1,app
5332,7,"app,support,urgent"
7995,1,"app,support"
7996,15,"app,support,urgent"
5301,10,"app,urgent"
7967,16,app
5306,8,app
5307,3,"app,urgent"
6650,1,app
6645,1,"app,support"
6646,7,"app,support"
6647,15,app
6643,1,app
6644,1,app
6649,1,app
5375,2,app
4036,3,"app,urgent"
4039,7,"app,support"
4053,1,app
5377,9,"app,urgent"
6680,1,"app,urgent"
6678,10,"app,support"
5345,17,app
5344,10,"app,support"
5343,9,app
6677,3,support
4016,4,"app,quickwin"
5359,1,"app,urgent"
5358,21,"app,urgent"
7902,6,"app,support"
7907,2,"app,support"
7908,6,app
7910,6,app
6611,1,"app,urgent"
7929,2,"app,support"
6604,9,app
206,8,"app,quickwin"
6499,1,"app,support"
6485,1,"app,support"
5158,5,"app,urgent"
5156,6,"app,urgent"
6488,2,app
245,2,"app,support"
243,145,"app,support,urgent"
244,393,app
240,80,app
239,13,"app,support"
232,39,app
231,45,"app,support"
167,62,app
162,31,"app,urgent"
7880,6,"app,urgent"
158,52,"app,urgent"
7878,1,"app,quickwin"
7879,1,"app,support"
153,7,app
151,7,app
152,8,"app,support,quickwin"
7876,3,app
150,37,
149,1,"app,urgent"
6516,4,"app,support"
5250,4,app
5252,6,"app,quickwin"
5248,1,app
6593,4,"app,quickwin"
6595,3,"app,quickwin"
195,1,"app,quickwin"
6587,1,app
6588,9,app
192,14,"app,support"
7890,2,"app,support"
180,22,app
181,15,"app,quickwin"
6573,9,"app,urgent"
5243,8,"app,quickwin"
5240,195,"app,support"
178,55,app
175,41,"app,support,urgent"
7895,2,app
7896,4,app
7897,3,"app,support,urgent"
171,43,"app,support"
7898,10,"app,quickwin"
172,23,app
170,44,"app,urgent"
6502,7,app
6504,10,app
6505,7,app
7800,7,"app,quickwin"
7803,3,"app,urgent"
769,27,"app,urgent"
766,56,app
762,8,"app,support"
761,4,"app,quickwin"
745,8,app
742,3,"app,support"
734,1,"app,urgent"
791,4,"app,support"
792,1,"app,urgent"
788,12,"app,quickwin"
786,14,"app,support"
783,326,app
773,6,app
774,2,app
771,2,app
772,2,app
770,26,app
4242,5,"app,support"
4241,1,app
4234,2,app
4245,1,"app,urgent"
4244,2,app
4243,2,app
4220,1,app
6876,16,app
5544,3,app
6873,9,app
6874,11,"app,support"
6875,10,app
4219,1,
4218,6,app
4223,1,app
4228,1,app
4227,1,"app,support,quickwin"
4261,33,"app,support"
5598,1,app
6810,8,"app,support"
6812,2,app
6813,1,"app,urgent"
6814,4,"app,support"
6827,2,"app,urgent"
6809,1,app
6804,1,app
6805,1,app
6860,1,app
6870,2,app
6867,5,app
6861,3,"app,support,urgent"
4208,1,app
6834,14,app
6835,1,"app,quickwin"
6836,3,app
6837,1,app
848,1,app
889,23,"app,support"
878,7,"app,support"
877,2,"app,support"
868,2,app
857,5,app
850,4,app
4087,10,"app,support"
4086,8,app
4078,4,app
4059,1,app
6777,3,"app,support"
5443,1,quickwin
5460,9,app
5456,1,app
5455,1,"app,urgent,quickwin"
5430,9,app
6751,3,app
6767,10,app
5433,325,"app,urgent"
6768,7,app
6765,63,app
5497,4,"app,urgent"
5474,4,"app,support"
5467,13,app
5464,4,app
6798,2,"app,support"
5483,2,app
5476,2,"app,support,quickwin"
5475,1,app
6700,1,app
6701,1,app
6707,1,"app,quickwin"
5403,2,"app,urgent"
5402,6,app
6739,2,app
6750,1,app
6745,1,app
6740,5,"app,urgent"
6741,5,"app,support"
6743,383,app
6712,9,"app,urgent"
528,68,app
527,1,
524,11,app
520,1140,"app,urgent"
521,12,"app,support"
519,1,"app,urgent"
517,3,app
518,3,app
516,10,"app,support"
514,4,app
511,9,app
510,22,"app,urgent"
502,11,"app,support,urgent"
503,10,"app,support,quickwin"
501,1,app
535,12,"app,urgent"
536,14,"app,urgent"
3099,5,app
597,12,app
598,1,app
591,1,app
592,4,app
588,1,app
582,2,app
575,2,"app,urgent"
3143,1,support
3142,5,"app,urgent"
4470,1,app
497,21,"app,support"
3139,1,"app,quickwin"
3137,2,"app,support,quickwin"
4499,17,app
5720,8,"app,urgent"
5724,2,app
5723,8,"app,urgent"
5722,2,app
5728,12,"app,urgent"
5725,1,"app,urgent"
5701,3,app
5704,1,"app,urgent"
5712,2,"app,urgent"
5767,1,"app,urgent,quickwin"
5766,2,app
5778,4,"app,quickwin"
5777,7,"app,support"
5740,2,app
4415,7,app
4414,3,"app,quickwin"
4413,3,app
5749,1,app
5748,6,app
5747,10,"app,quickwin"
5753,7,app
5755,4,"app,support"
605,106,"app,quickwin"
603,9,"app,support"
648,4,app
632,26,app
633,11,"app,urgent,quickwin"
656,36,"app,quickwin"
657,108,"app,urgent"
692,62,app
3003,4,"app,support"
6999,10,app
6993,5,"app,urgent"
3006,1,app
3007,1,app
3004,1,"app,support"
3005,1,app
3008,24,app
3009,2,"app,quickwin"
3011,9,app
3071,2,"app,support,urgent"
3070,2,app
3068,5,"app,urgent"
3069,1,"app,support"
3066,10,"app,support,quickwin"
3078,2,"app,support"
5610,9,app
5614,1,app
5613,1,app
5611,1,"app,urgent"
5617,1,app
5616,1,app
5615,1,"app,quickwin"
5619,12,app
6913,2,app
6924,11,app
6980,1,app
5641,7,"app,urgent,quickwin"
6978,1,
5640,9,app
6971,6,app
6972,6,app
6973,12,app
6990,10,"app,support"
6991,6,"app,urgent"
6992,5,app
6989,7,app
5626,10,"app,support"
5633,1,"app,urgent,quickwin"
5639,3,app
15,10,"app,quickwin"
4274,2,app
4273,1,app
4281,12,"app,urgent,quickwin"
4280,8,app
10,6,"app,quickwin"
11,29,app
4282,51,"app,quickwin"
12,8,app
4295,1,"app,support"
4299,2,"app,support"
5921,2,app
5927,1,"app,support,urgent"
5937,1,"app,urgent"
5936,446,"app,urgent"
5935,10,app
4604,1,app
5934,3,"app,support,urgent"
5939,2,"app,support,quickwin"
5938,2,"app,urgent"
5900,1,"app,support"
5904,11,
5903,1,"app,support"
5902,1,"app,support"
5901,4,app
5908,468,app
5907,2,app
5906,152,app
5905,3,
5910,8,"support,urgent"
4209,3,"app,quickwin"
4210,3,app
4212,11,app
4211,2,app
4214,29,app
4213,20,app
4216,1,"app,support,quickwin"
4218,2,"app,support"
4217,11,app
4219,4,app
4220,19,app
57,5,app
58,6,"app,urgent"
59,10,app
60,3,"app,quickwin"
61,4,quickwin
54,5,app
55,1,app
56,4,app
4249,1,app
4250,4,app
4251,6,"app,urgent"
3397,20,"app,urgent"
3364,10,app
3367,6,app
24,123,"app,support"
25,61,support
27,23,"app,support"
28,23,app
29,23,app
34,18,app
35,12,app
36,7,app
37,13,"app,support"
30,24,"app,quickwin"
31,12,app
32,12,"app,support"
33,10,"app,urgent"
38,84,app
39,64,app
4631,4,"app,support,urgent"
5964,4,"app,urgent,quickwin"
5963,1,app
4639,6,app
5967,4,"app,support,urgent"
40,10,"app,urgent"
45,59,"app,urgent,quickwin"
46,59,"app,support"
47,59,"app,urgent"
48,59,app
41,10,app
42,58,app
44,59,"app,urgent"
49,3,app
4641,3,"app,quickwin"
4640,9,"app,support"
59,102,app
52,2,"app,support,urgent,quickwin"
53,11,app
54,3,app
55,57,"app,quickwin"
60,151,"app,quickwin"
4619,5,"app,quickwin"
67,58,app
64,145,app
5951,2,"app,support"
5950,9,"app,support"
5955,1,"app,support,quickwin"
4624,1,app
4623,8,app
4622,2,"app,support,quickwin"
71,57,
4625,1,app
3343,1,app
4674,17,app
3341,10,
4673,7,app
4672,5,"app,support"
87,50,"app,support,quickwin"
4684,7,"app,urgent"
3358,1,"app,urgent"
90,31,"app,support"
91,64,app
4653,7,"app,support"
4652,30,app
4650,5,"app,urgent,quickwin"
4656,2,app
4654,7,app
3327,351,app
4671,7,app
4670,9,"app,quickwin"
3330,2,app
4668,1,app
4667,9,app
4666,10,"app,support"
4669,7,app
4155,1,app
4169,20,app
4171,47,"app,support"
4173,7,support
4172,10,"app,quickwin"
4175,20,app
4174,38,"app,support,urgent"
4177,9,"app,support"
4176,16,app
4179,21,app
4178,7,"app,quickwin"
4186,16,app
4102,18,app
4101,2,app
4104,1,"app,quickwin"
4105,8,app
4108,1,app
4107,4,"app,urgent"
4135,26,app
4136,1,app
4139,1,app
4140,2,app
4141,3,"app,quickwin"
4143,1,
4145,21,app
3272,4,"app,quickwin"
3267,1,support
3275,6,app
3248,1,app
3249,2,"app,support"
3246,3,"app,quickwin"
3247,1,app
5837,7,"app,urgent"
4557,34,app
4556,29,"app,urgent"
4555,32,app
3228,8,"app,support,urgent"
3229,1,app
5895,4,app
3231,22,"app,quickwin"
5893,1,app
5899,1,app
5898,1,app
5897,5,"app,urgent"
3239,3,"app,support,urgent"
4530,9,app
5868,1,"app,quickwin"
5874,5,app
5873,1,app
5871,7,app
3183,4,app
3184,2,app
3189,18,"app,support,urgent"
3191,2,app
3194,5,app
3193,18,app
3196,58,app
3195,16,app
3198,1,"app,urgent"
3199,20,"app,support"
3517,7,app
988,2,"app,quickwin"
4425,2,"app,support"
4427,1,app
4426,3,app
4429,10,app
4430,3,app
4432,24,app
4431,1,app
3103,4,
4434,1,app
4433,1,app
4438,20,app
4437,9,app
4439,1,
4441,10,
4440,1,app
4443,7,app
4442,4,"app,quickwin"
3114,4,"app,quickwin"
3113,18,app
4444,10,app
4446,1,"app,support"
3118,11,app
4449,1,app
3119,19,app
3121,7,"app,quickwin"
3120,6,app
4451,2,
3125,1,"app,support"
3124,156,app
4455,6,"app,support,urgent"
3127,16,app
4458,5,"app,support,urgent,quickwin"
3126,3,"app,support"
4457,2,app
3128,1,"app,urgent"
4459,13,"app,quickwin"
3130,5,app
4461,7,app
3132,6,app
3131,3,"app,urgent"
4465,1,"app,quickwin"
3133,2,"app,support"
4464,3,"app,urgent"
3138,27,"app,support"
4469,1,app
4468,8,"app,urgent"
4470,8,app
3141,1,"app,urgent"
4472,1,"app,support,urgent"
4471,8,"app,urgent"
3143,1,app
4474,5,"app,urgent"
3142,11,"app,urgent"
4473,5,app
4476,1,app
3144,10,app
4475,3,app
4477,4,app
3148,5,"app,support"
3150,7,"app,support"
3151,1,"app,support,urgent"
4482,3,app
3154,6,"app,urgent"
3153,1,"app,support"
3156,8,"app,support,urgent"
4486,1,app
3158,4,support
3157,6,app
3167,1,"app,support,urgent"
3169,7,"app,support,urgent"
3170,6,app
3172,13,app
3174,1,
3176,1,app
3175,1,app
2299,4,app
2274,11,app
2275,149,app
2292,1,"app,support"
4401,1,app
4400,1,"app,support"
4403,16,"app,urgent"
4402,17,"app,quickwin"
4404,1,app
4411,1,"app,urgent"
4414,2,app
4413,3,app
4415,1,app
4418,4,app
4417,29,app
4421,8,app
4880,1,app
2210,546,app
3540,1,app
2212,5,
3560,1,"app,urgent"
2226,1,"app,support,urgent"
4887,3,app
2223,2,app
4886,1,"app,support"
3555,2,app
3527,3,app
3531,1,app
3534,2,app
3533,1,app
3538,3,app
921,13,app
2270,682,app
908,1,app
904,1,"app,support,urgent"
901,15,"app,support"
4895,4,"app,quickwin"
4894,1,app
3564,8,app
3561,1,app
2230,7,
3562,18,"app,support,quickwin"
2237,21,app
3568,5,app
3565,2,"app,urgent"
2241,396,"app,quickwin"
2242,1,app
3060,12,app
4391,20,app
3062,1,app
4393,3,app
3061,15,app
3064,5,app
3063,7,"app,urgent"
4394,2,app
3066,2,app
3065,4,app
4398,2,"app,urgent,quickwin"
3071,2,"app,support"
3072,1,"app,support"
3075,11,app
3077,1,"app,support"
3076,1,"app,urgent"
3078,1,app
3080,1,app
3082,4,support
3081,1,app
3084,12,"app,support"
3083,18,"app,urgent,quickwin"
3086,7,"app,support"
3085,7,app
3087,3,"app,quickwin"
3091,8,app
3090,5,"app,support"
3093,31,app
4712,4,app
4711,2,"app,urgent"
4715,4,app
4714,4,app
4713,5,"app,urgent"
4717,1,app
4723,6,"app,support"
4722,3,app
4721,2,app
4709,1,"app,support,quickwin"
4707,1,"app,support"
4311,2,support
4310,16,app
4313,1,"app,urgent"
4312,3,app
4319,1,app
4318,2,"app,quickwin"
3000,23,app
3002,27,"app,urgent"
4333,6,"app,urgent"
3001,8,app
3003,27,"app,quickwin"
3006,5,app
4337,3,app
4336,2,"app,urgent"
3008,4,"app,support"
3007,1,"app,quickwin"
4338,1,app
3009,3,app
4340,1,
4342,1,app
4341,39,app
3012,57,app
4343,1,"app,support"
3017,1,"app,urgent"
3016,1,
3019,24,app
3018,4,"app,urgent"
3020,4,"app,urgent"
4351,2,"app,quickwin"
4350,1,app
4353,1,app
3021,4,"app,support"
4352,1,app
3024,1,"app,quickwin"
4355,2,app
3023,9,"app,urgent"
4354,1,app
3026,2,"app,urgent"
4357,19,"app,quickwin"
3025,6,"app,support,urgent"
4356,13,app
4359,1,app
3027,26,"app,support,quickwin"
4358,10,"app,urgent,quickwin"
3029,6,"app,quickwin"
4360,2,app
3031,1,"app,support"
4362,1,"app,urgent"
3030,2,app
4361,1,app
3033,1,app
4364,2,app
3032,2,app
4363,13,app
4366,10,"app,support"
4365,1,app
3039,8,app
3038,2,app
4369,1,app
3040,35,app
4370,5,app
3042,2,app
4373,1,"app,support,quickwin"
3041,1,"app,urgent"
4372,1,app
3044,1,"app,urgent"
3043,2,app
4374,1,"app,support"
3046,2,"app,quickwin"
4377,9,app
3045,1,app
4376,19,app
3048,4,app
4379,1,"app,support"
3047,1,app
4378,15,"app,support,urgent"
3049,5,app
4380,2,
4382,1,"app,support"
3050,1,"app,urgent"
4381,3,app
3053,1,app
4384,1,"app,support,urgent"
3052,1,app
4383,1,urgent
3055,10,app
4386,4,"app,urgent"
3054,2,app
4385,3,"app,urgent"
3057,5,"app,urgent"
4388,1,app
3056,7,"app,quickwin"
4387,2,app
3059,1,app
3058,1,"app,urgent"
4389,1,app
2160,12,app
2153,4,app
2173,5,app
2171,1,app
3498,3,"app,support"
2199,6,"app,urgent"
4300,3,"app,support"
4301,3,"app,quickwin"
4750,1,"app,support"
4756,10,app
4758,5,"app,quickwin"
4757,1,"app,support,urgent"
4770,3,app
4762,9,"app,support"
4766,2,"support,quickwin"
4765,2,app
4734,1,app
4732,1,"app,quickwin"
4731,1,app
4737,4,"app,support"
3414,122,"app,support"
4744,2,app
4743,4,"app,urgent,quickwin"
4742,1,app
3415,1,"app,urgent"
2133,8,app
2137,3,app
2138,4,"app,urgent"
2135,2,app
2139,4,app
2143,2,app
4781,3,app
4780,4,"app,quickwin"
4772,1,"app,urgent"
4779,1,"app,support"
4790,10,"app,quickwin"
4789,1,app
2413,2,"app,support,quickwin"
2416,6,"app,quickwin"
2415,5,app
2423,21,"app,urgent"
2427,1,app
3758,8,app
2426,7,app
1191,50,app
1193,50,app
1195,57,"app,quickwin"
1196,8,app
1198,127,"app,support"
2463,11,"app,urgent"
1137,3,"app,urgent"
2465,1,app
2466,2,app
2431,7,"app,support"
2432,5,app
3771,7,app
1119,6,"app,support"
1118,4,app
2494,6,"app,support"
2493,8,"app,urgent"
2490,2,"app,urgent"
1153,3,app
1152,8,"app,urgent"
2483,3,app
1154,1,"app,urgent"
2487,1,app
4921,3,"app,support,urgent"
4922,2,"app,urgent"
4907,1,app
3622,4,"app,urgent,quickwin"
4953,1,"app,support"
3623,9,"app,quickwin"
3620,89,app
3621,4,support
3624,3,"app,urgent,quickwin"
3633,2,"app,support,quickwin"
2307,1,app
2309,1,app
3612,2,app
4947,8,app
4945,2,"app,support"
4944,2,app
1072,7,
1067,4,app
1068,8,app
1007,34,app
2350,1,app
3674,1,app
2340,1,"app,urgent"
1011,3,app
2341,2,app
2346,1,app
2347,4,app
1016,3,app
3675,1,"app,support"
1015,50,"app,support,urgent"
2348,1,"app,support,urgent"
2310,1,"app,urgent"
4971,6,app
4975,37,app
4974,9,app
2316,1,app
3647,1,app
4987,5,app
3656,1,app
3653,8,app
2329,1,"app,urgent"
2382,1,"app,quickwin"
1052,8,"app,support"
2380,6,"app,urgent"
1044,1,app
1049,10,"app,support"
2378,2,app
1053,1,
1056,8,"app,quickwin"
2385,2,app
2388,1,app
2389,9,app
2361,1,app
1021,185,app
2354,2,"app,support"
3685,8,"app,support"
1023,230,app
3682,3,app
2352,2,app
3683,3,"app,urgent"
3688,6,app
1024,14,app
2355,1,app
3686,1,app
2356,1,app
2371,10,app
2370,1,app
2362,8,"app,support"
2368,24,app
2369,24,"app,urgent"
2615,4,app
2619,1,"app,quickwin"
4047,13,"app,support"
4046,1,app
4049,1,"app,support"
4048,45,app
4050,1,app
4052,2,app
4054,12,app
3923,10,"app,support,quickwin"
3924,1,"app,urgent"
4053,26,app
4058,6,"app,urgent"
4059,1,urgent
3926,6,app
4061,2,app
4060,1,"app,urgent"
4063,6,"app,urgent"
4062,1,"app,support,urgent"
4065,2,"app,urgent"
4069,2,app
2607,41,app
2605,3,app
2651,5,app
3986,2,app
2652,3,"app,urgent"
1326,2,app
2659,8,"app,quickwin"
1328,5,"app,urgent,quickwin"
1327,2,app
3988,5,app
1329,4,app
4081,1,app
1331,4,app
3990,1,"app,support"
1330,5,app
1333,4,app
1332,5,app
4085,7,"app,support,quickwin"
1335,4,"app,support,quickwin"
2663,1,app
4084,1,app
4087,23,app
4086,2,app
4089,44,"app,urgent"
2668,4,app
4092,1,app
4091,5,
4096,10,app
1302,19,"app,urgent"
2631,1,"app,support"
2637,9,"app,quickwin"
4099,38,app
2638,8,"app,urgent"
1315,11,"app,support"
1318,3,app
3909,1,"app,urgent,quickwin"
3906,4,"app,support"
3904,5,"app,support"
4005,1,app
4004,7,app
3915,2,app
4007,3,"app,urgent"
4006,1,app
4009,1,app
4008,1,app
4012,4,"app,urgent"
4011,3,"app,urgent"
4014,1,app
4013,1,app
4016,14,"app,quickwin"
4017,1,app
4021,8,"app,quickwin"
4023,1,"app,urgent"
4022,8,app
4026,2,app
1362,4,app
1364,4,app
1363,4,"app,support"
1365,5,app
1381,1,app
1373,1,app
2672,5,"app,support,urgent"
1342,2,app
2676,8,app
2677,6,app
1347,351,app
1360,52,"app,support,quickwin"
1358,165,app
1391,1,"app,support"
1386,9,app
3826,1,app
2501,8,"app,support"
3833,150,app
2508,6,"app,support"
3802,10,app
3803,13,app
3801,8,app
3804,29,app
3813,7,app
1200,15,app
3865,6,"app,urgent"
1203,4,"app,support,quickwin"
1207,13,"app,quickwin"
3866,9,
1206,50,"app,urgent"
3867,2,"app,urgent"
1209,17,app
3874,1,app
1218,7,"app,quickwin"
3877,217,"app,support"
3858,4,"app,quickwin"
3859,10,app
3890,1,"app,support"
2551,1,app
3884,8,"app,support,urgent"
1224,16,app
3885,9,"app,urgent"
3888,1,app
3889,1,app
3891,2,"app,support,urgent,quickwin"
1290,3,quickwin
1271,59,"app,support,urgent"
2596,7,app
1269,163,"app,support,urgent"
2597,1,"app,quickwin"
1268,363,app
2856,6,"app,support,urgent"
2858,4,app
1528,50,app
2860,5,"app,support"
1533,8,"app,urgent"
2864,4,"app,support"
1530,1,app
1536,1,"app,quickwin"
2866,1,app
2869,6,"app,quickwin"
2833,4,app
2838,8,app
1505,1,app
1506,10,"app,support"
2845,9,app
2846,9,"app,support,quickwin"
2843,5,app
2844,1,app
2849,10,app
2847,1,app
1517,2,app
2848,1,app
2870,8,app
2871,8,"app,quickwin"
1541,8,"app,quickwin"
1542,8,app
1184,7,app
1185,14,app
1199,3,app
2819,7,app
2824,3,app
2821,5,"app,quickwin"
2822,1,app
2827,1,"app,support,quickwin"
2825,8,app
2826,2,app
2801,2,app
2803,2,"app,quickwin"
2804,1,app
2402,5,app
2405,2,app
2406,48,app
2407,3,app
2410,26,app
2413,98,app
3745,1,"app,quickwin"
3744,9,app
2415,10,"app,support"
3747,4,"app,support"
2416,10,"app,urgent"
2417,8,"app,urgent"
2418,4,"app,urgent"
3748,1,"app,urgent"
990,3,"app,support"
3751,4,"app,quickwin"
2427,2,"app,support"
2428,47,app
2429,5,"app,urgent"
2430,4,"app,urgent"
2431,29,"app,urgent,quickwin"
3764,1,"app,urgent"
2440,19,app
1110,4,app
2441,14,app
2442,8,app
3774,28,app
2443,70,app
2444,16,app
3775,63,"app,urgent"
1115,3,app
2447,17,"app,support"
3777,65,urgent
2449,29,app
2450,71,"app,urgent"
3780,13,
2451,24,"app,urgent,quickwin"
2454,19,app
2455,4,"app,support,urgent"
2456,3,"app,quickwin"
1135,8,"app,urgent"
1137,188,"app,support"
1140,23,"app,support"
1143,5,app
1147,20,app
2483,50,app
1153,6,"app,urgent"
2484,6,app
1154,7,"app,urgent,quickwin"
1155,10,app
2486,1,app
1156,12,
3730,7,app
1400,359,quickwin
2736,1,"app,support,urgent,quickwin"
2739,6,"app,support"
2738,1,app
2742,2,app
2743,38,"app,urgent"
2744,1,app
2749,1,app
2715,7,"app,support"
2772,49,app
2773,5,app
2779,30,"app,support"
1449,19,app
2778,7,app
1423,1,"app,support,quickwin"
2751,1,"app,support,quickwin"
1426,10,"app,support"
2755,3,"app,quickwin"
2756,3,app
2764,1,"app,urgent"
2768,1,urgent
2769,6,"app,support"
2767,27,app
918,1,"support,urgent"
924,118,"app,support,urgent"
923,10,app
926,172,app
925,118,"app,quickwin"
928,5,app
927,4,app
930,7,app
1084,3,app
985,9,app
987,24,"app,quickwin"
984,5,app
3642,5,"app,urgent"
2313,3,
2315,7,"app,support"
2317,15,app
2318,16,urgent
2319,2,"app,urgent"
2320,19,app
2321,18,app
2336,3,app
2337,6,app
2340,13,app
2341,25,app
2343,18,app
2344,26,app
2345,8,app
2346,5,"app,quickwin"
1018,9,app
1022,17,"app,urgent"
3691,96,"app,support,urgent"
1497,5,"app,support"
1763,1,app
1762,13,app
1774,2,app
1799,2,"app,quickwin"
809,7,app
808,2,quickwin
849,4,app
1722,1,"app,support"
1725,25,"app,urgent"
865,3,"app,support,urgent"
868,10,"app,urgent"
863,9,app
857,4,"app,quickwin"
1712,9,"app,support,quickwin"
2643,1,app
3973,2,app
3982,58,"app,urgent"
2653,5,app
2654,1,"app,urgent"
2655,6,"app,quickwin"
2657,12,"app,support,quickwin"
758,2,app
1341,9,app
785,8,app
1346,2,app
1348,9,support
771,353,app
2681,5,app
1351,6,app
772,3,app
2683,1,"app,support"
1353,3,"app,urgent"
1354,47,app
1355,14,app
2686,6,"app,support"
2688,14,"app,support"
1359,5,"app,quickwin"
2690,20,app
1360,5,app
2691,3,app
1361,20,app
1362,2,app
1363,9,app
1365,7,"app,support,quickwin"
1366,4,app
793,6,"app,quickwin"
795,5,"app,support,urgent"
797,2,app
796,3,"app,urgent"
3908,12,app
2600,1,"app,support"
3934,1,app
3933,1,"app,quickwin"
3936,8,app
3935,1,app
3938,1,app
3937,4,app
3941,21,app
3940,1,"app,support,quickwin"
2613,34,app
3944,6,app
3949,1,
3952,1,app
3951,4,"app,support"
3954,6,app
3956,8,"app,urgent"
3959,8,app
3961,1,
3960,3,"app,support"
1300,8,"app,urgent"
1301,6,app
1303,3,app
1305,3,app
2637,28,"app,support"
3968,3,"app,urgent"
3970,1,"app,support"
3972,8,urgent
2641,4,"app,support,quickwin"
1646,2,app
2978,1,"app,urgent"
1644,10,"app,urgent"
2979,2,"app,urgent"
1649,2,"app,support"
1650,12,"app,quickwin"
1654,1,"app,support"
1652,11,"app,urgent"
